id,question,options,tags,active
"pricing-factor","What’s the most important factor in party bus pricing?","{""Group size"",""Date/season"",""Trip length"",""Vehicle type""}","{""pricing"",""general""}",true
"newer-vehicle","Would you pay more for a newer vehicle?","{""Yes"",""No""}","{""fleet"",""pricing""}",true
"hourly-20p-limo","What’s a fair hourly rate for a 20-passenger limo?","{""$100"",""$150"",""$200"",""$250+""}","{""limo"",""pricing""}",true
"partybus_vs_limo","Party Bus vs Limo — which would you pick?","{""Party Bus"",""Limo""}","{""general"",""comparison""}",true
"event_type","What’s your event?","{""Prom"",""Wedding"",""Gameday"",""Birthday"",""Corporate""}","{""events"",""general""}",true
"matters_most","What matters most?","{""Price"",""Space"",""Lighting"",""Sound"",""Luggage""}","{""features"",""general""}",true
"partybus_safer","True or False: Party buses are safer than limos.","{""True"",""False""}","{""safety"",""comparison""}",true
"rent_partybus_birthday","Would you rent a party bus for a birthday?","{""Yes"",""No""}","{""events"",""birthday""}",true
"important_partybus_feature","Which party bus feature is most important?","{""Sound System"",""Lighting"",""Bar"",""TV Screens""}","{""features"",""party-bus""}",true
"rent_limo_birthday","Would you rent a limousine for a birthday?","{""Yes"",""No""}","{""events"",""birthday""}",true
"favorite_limo_color","What’s your favorite limo color?","{""Black"",""White"",""Pink"",""Silver""}","{""fun"",""general""}",true
"partybus_q_01","Which music genre do you prefer on a party bus?","{""Top 40"",""Hip Hop"",""EDM"",""Classic Rock""}","{""party-bus"",""music""}",true
"partybus_q_02","Preferred onboard beverage option?","{""Open bar"",""BYOB"",""Cash bar"",""Non-alcoholic only""}","{""party-bus"",""beverages""}",true
"partybus_q_03","Ideal party bus trip length?","{""1-2 hours"",""3-4 hours"",""Half day"",""Full day""}","{""party-bus"",""duration""}",true
"partybus_q_04","Best time of day to rent a party bus?","{""Afternoon"",""Evening"",""Late night"",""Morning""}","{""party-bus"",""timing""}",true
"partybus_q_05","Most important interior feature?","{""Sound system"",""Lighting"",""Bar"",""Seating comfort""}","{""party-bus"",""features""}",true
"partybus_q_06","Do you prefer a themed interior (neon, retro, etc.)?","{""Yes"",""No"",""Depends on event"",""No preference""}","{""party-bus"",""design""}",true
"partybus_q_07","How far in advance do you book a party bus?","{""Weeks"",""Months"",""Days"",""Last minute""}","{""party-bus"",""booking""}",true
"partybus_q_08","Would you rent a party bus for an airport transfer?","{""Yes"",""No"",""Maybe"",""Depends on price""}","{""party-bus"",""airport""}",true
"partybus_q_09","Preferred pickup location type?","{""Home"",""Venue"",""Airport"",""Hotel""}","{""party-bus"",""logistics""}",true
"partybus_q_10","How important is privacy (tinted windows) on a party bus?","{""Very"",""Somewhat"",""Not much"",""Not at all""}","{""party-bus"",""privacy""}",true
"partybus_q_11","Do you want an in-house DJ or connect your device?","{""In-house DJ"",""Connect my device"",""Both"",""No music""}","{""party-bus"",""music""}",true
"partybus_q_12","Acceptable age policy for alcoholic events?","{""21+"",""18+ with permission"",""Mixed"",""No alcohol""}","{""party-bus"",""policy""}",true
"partybus_q_13","Would you pay extra for a driver with event experience?","{""Yes"",""No"",""Maybe"",""Only for long trips""}","{""party-bus"",""service""}",true
"partybus_q_14","Favorite onboard game/activity?","{""Karaoke"",""Dance floor"",""Drinking games"",""Photo booth""}","{""party-bus"",""entertainment""}",true
"partybus_q_15","Do you value extra luggage space?","{""Yes - always"",""Sometimes"",""Rarely"",""Never""}","{""party-bus"",""logistics""}",true
"partybus_q_16","Do you expect onboard restroom on longer trips?","{""Yes"",""No"",""Prefer but not required"",""Depends on trip""}","{""party-bus"",""comfort""}",true
"partybus_q_17","How important are safety briefings before departure?","{""Very"",""Somewhat"",""Not much"",""Not at all""}","{""party-bus"",""safety""}",true
"partybus_q_18","Would you prefer assigned seating?","{""Yes"",""No"",""No preference"",""Only for kids""}","{""party-bus"",""comfort""}",true
"partybus_q_19","Top reason to rent a party bus?","{""Party"",""Airport transfer"",""Touring"",""Other event""}","{""party-bus"",""purpose""}",true
"partybus_q_20","Do you want vehicle photos before booking?","{""Yes"",""No"",""Only for big events"",""Optional""}","{""party-bus"",""trust""}",true
"partybus_q_21","Preferred lighting vibe?","{""Neon"",""Ambient"",""Disco"",""Minimal""}","{""party-bus"",""design""}",true
"partybus_q_22","Would you hire for corporate outings?","{""Yes"",""No"",""Maybe"",""Depends on pricing""}","{""party-bus"",""corporate""}",true
"partybus_q_23","How important is WiFi onboard?","{""Essential"",""Nice to have"",""Rarely use"",""Not needed""}","{""party-bus"",""features""}",true
"partybus_q_24","Are pet-friendly buses important?","{""Yes"",""No"",""Sometimes"",""Only small pets""}","{""party-bus"",""policy""}",true
"partybus_q_25","Would you want a themed decor for birthdays?","{""Yes"",""No"",""Depends on theme"",""Surprise me""}","{""party-bus"",""events""}",true
"partybus_q_26","Do you expect a cleaning fee?","{""Yes"",""No"",""Depends on mess"",""No preference""}","{""party-bus"",""pricing""}",true
"partybus_q_27","Preferred payment method?","{""Card"",""Cash"",""Bank transfer"",""Pay app""}","{""party-bus"",""payments""}",true
"partybus_q_28","Would you use a party bus for a city tour?","{""Yes"",""No"",""Maybe"",""Only certain cities""}","{""party-bus"",""tourism""}",true
"partybus_q_29","Do you want onboard charging outlets?","{""Yes"",""No"",""Some"",""Not sure""}","{""party-bus"",""features""}",true
"partybus_q_30","How important is climate control (AC/heat)?","{""Critical"",""Important"",""Somewhat"",""Not important""}","{""party-bus"",""comfort""}",true
"partybus_q_31","Would you want exterior branding removed for private events?","{""Yes"",""No"",""Depends"",""No preference""}","{""party-bus"",""privacy""}",true
"partybus_q_32","Do you prefer leather or fabric seating?","{""Leather"",""Fabric"",""No preference"",""Mixed""}","{""party-bus"",""comfort""}",true
"partybus_q_33","Would you book a multi-stop party bus itinerary?","{""Yes"",""No"",""Maybe"",""Only short stops""}","{""party-bus"",""itinerary""}",true
"partybus_q_34","How often do you rent party buses per year?","{""Never"",""1-2"",""3-5"",""6+""}","{""party-bus"",""frequency""}",true
"partybus_q_35","Would you pay extra for a themed costume event?","{""Yes"",""No"",""Maybe"",""Only small fee""}","{""party-bus"",""events""}",true
"partybus_q_36","Is a step-free entrance important?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""party-bus"",""accessibility""}",true
"partybus_q_37","Do you expect a stock music library?","{""Yes"",""No"",""Bring playlist"",""Hire DJ""}","{""party-bus"",""music""}",true
"partybus_q_38","Would you hire a bus with a mini-stage?","{""Yes"",""No"",""Maybe"",""Prefer dance floor""}","{""party-bus"",""features""}",true
"partybus_q_39","How important is a clear cancellation policy?","{""Very"",""Somewhat"",""Not much"",""Not at all""}","{""party-bus"",""policy""}",true
"partybus_q_40","Would you want food service onboard?","{""Yes"",""No"",""Snacks only"",""Catered""}","{""party-bus"",""food""}",true
"partybus_q_41","Do you expect an event coordinator for large parties?","{""Yes"",""No"",""Depends on size"",""Optional""}","{""party-bus"",""service""}",true
"partybus_q_42","Would you prefer a driver in formal attire?","{""Yes"",""No"",""Neutral"",""Depends on event""}","{""party-bus"",""service""}",true
"partybus_q_43","Is music volume control a must-have?","{""Yes"",""No"",""Somewhat"",""Not important""}","{""party-bus"",""comfort""}",true
"partybus_q_44","Do you want onboard security for big parties?","{""Yes"",""No"",""Sometimes"",""Depends on crowd""}","{""party-bus"",""safety""}",true
"partybus_q_45","Would you rent a bus for a progressive party?","{""Yes"",""No"",""Maybe"",""Never""}","{""party-bus"",""itinerary""}",true
"partybus_q_46","Preferred booking window for peak season?","{""Months ahead"",""Weeks ahead"",""Days ahead"",""Last minute""}","{""party-bus"",""booking""}",true
"partybus_q_47","Would you expect free parking at pickup?","{""Yes"",""No"",""Prefer but not required"",""Depends on location""}","{""party-bus"",""logistics""}",true
"partybus_q_48","Do you prefer onboard phone charging stations?","{""Yes"",""No"",""Some"",""Not sure""}","{""party-bus"",""features""}",true
"partybus_q_49","How important is a photo-friendly interior?","{""Very"",""Somewhat"",""Not much"",""Not at all""}","{""party-bus"",""design""}",true
"partybus_q_50","Would you leave a tip for the driver?","{""Always"",""Sometimes"",""Rarely"",""Never""}","{""party-bus"",""service""}",true
"pricing_q_30","Do you expect tax & fees included in the quote?","{""Yes"",""No"",""Optional"",""Depends""}","{""pricing""}",true
"pricing_q_31","Would you pay for guaranteed vehicle model?","{""Yes"",""No"",""Sometimes"",""Depends""}","{""pricing""}",true
"pricing_q_32","Is price matching important to you?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""pricing""}",true
"pricing_q_33","Do seasonal discounts change your booking month?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""pricing""}",true
"pricing_q_34","Would you pay more to avoid layovers or stops?","{""Yes"",""No"",""Maybe"",""Depends""}","{""pricing""}",true
"pricing_q_35","Do you value upfront damage policy disclosure?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""pricing""}",true
"pricing_q_36","Would you prefer split payment options for groups?","{""Yes"",""No"",""Optional"",""Depends""}","{""pricing""}",true
"pricing_q_37","Is hourly minimum price acceptable for short trips?","{""Yes"",""No"",""Sometimes"",""Depends""}","{""pricing""}",true
"pricing_q_38","Would you accept pre-authorized holds on cards?","{""Yes"",""No"",""Maybe"",""Depends""}","{""pricing""}",true
"pricing_q_39","Do you prefer prepaid or pay-at-service?","{""Prepaid"",""Pay-at-service"",""Either"",""Depends""}","{""pricing""}",true
"pricing_q_40","Would you pay extra for last-mile concierge service?","{""Yes"",""No"",""Maybe"",""Depends""}","{""pricing""}",true
"pricing_q_41","Are price breakdown visuals helpful when choosing?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""pricing""}",true
"pricing_q_42","Would you choose insurance add-ons for trips?","{""Yes"",""No"",""Sometimes"",""Depends""}","{""pricing""}",true
"pricing_q_43","Do you expect better rates for repeat bookings?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""pricing""}",true
"pricing_q_44","Would you accept surge pricing if notified in advance?","{""Yes"",""No"",""Maybe"",""Depends""}","{""pricing""}",true
"pricing_q_45","Do you favor transparency over the lowest price?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""pricing""}",true
"pricing_q_46","Would you pay extra for a bilingual driver?","{""Yes"",""No"",""Maybe"",""Depends""}","{""pricing""}",true
"pricing_q_47","Is a refundable deposit better than higher base price?","{""Refundable deposit"",""Higher base"",""Neither"",""Not sure""}","{""pricing""}",true
"pricing_q_48","Would you accept small service fees for support?","{""Yes"",""No"",""Sometimes"",""Depends""}","{""pricing""}",true
"pricing_q_49","Do multi-day booking discounts influence choice?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""pricing""}",true
"pricing_q_50","Would you pay extra for upgraded insurance coverage?","{""Yes"",""No"",""Maybe"",""Depends""}","{""pricing""}",true
"industry_secrets_q_03","Would insider maintenance tips improve trust?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_04","Are transparent fleet inspections important to you?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_05","Would you value a provider’s uptime statistics?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_06","Do behind-the-scenes logistics articles help decisions?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_07","Would anonymous driver reviews matter to you?","{""Yes"",""No"",""Maybe"",""Depends""}","{""industry-secrets""}",true
"industry_secrets_q_08","Do you trust operational transparency from providers?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_09","Would you read cost-saving vendor tips for events?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_10","Are driver training standards important to you?","{""Yes"",""No"",""Somewhat"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_11","Would you value a checklist for booking safely?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_12","Do you want tips on negotiating group rates?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_13","Would operational timelines (ETA accuracy) persuade you?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_14","Do you care about fleet age when choosing a provider?","{""Yes"",""No"",""Somewhat"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_15","Would you read tips on avoiding hidden fees?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_16","Are vendor vetting checklists useful to you?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_17","Would you like a primer on insurance terms?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_18","Do you prefer providers who publish maintenance logs?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_19","Would you follow tips on reducing no-shows for events?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_20","Are operational KPIs (on-time, cancellations) valuable?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_21","Would you reward providers that publish repair histories?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_22","Do you trust third-party fleet audits?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_23","Would you follow a series on event logistics best practices?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_24","Are recommendations on tipping policies helpful?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_25","Do you want guides on staging multi-stop itineraries?","{""Yes"",""No"",""Maybe"",""Depends""}","{""industry-secrets""}",true
"industry_secrets_q_26","Would you read about peak-season staffing strategies?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_27","Are behind-the-scenes supplier tips useful for planners?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_28","Would you like checklists for venue access logistics?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_29","Do you want to learn about vehicle lifecycle costs?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_30","Would you appreciate tips on safe alcohol policies?","{""Yes"",""No"",""Maybe"",""Depends""}","{""industry-secrets""}",true
"industry_secrets_q_31","Are driver scheduling best practices useful to you?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_32","Would you read vendor negotiation playbooks?","{""Yes"",""No"",""Maybe"",""Depends""}","{""industry-secrets""}",true
"industry_secrets_q_33","Do you find risk-mitigation guides valuable?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_34","Would you use route-optimization tips for events?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_35","Are maintenance scheduling tips useful for providers?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_36","Would you like insights on fleet financing options?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_37","Do you value transparency on vehicle modifications?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_38","Would you follow a safety audit checklist for events?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_39","Are insights on fuel-surcharge practices helpful?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_40","Would you read about staff training standards?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_41","Do you want templates for event contracts?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_42","Would you value tips for handling lost items?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_43","Are vendor selection frameworks useful?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_44","Would you appreciate advice on dispute resolution?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_45","Do you want samples of transparent invoices?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_46","Would you follow a guide to reduce booking fraud?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_47","Are checklists for multi-vehicle coordination useful?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_48","Would you like tips for vendor onboarding?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_49","Do you value real-case study breakdowns of events?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""industry-secrets""}",true
"industry_secrets_q_50","Would you share your own industry tips anonymously?","{""Yes"",""No"",""Maybe"",""Depends""}","{""industry-secrets""}",true
"blogs_q_03","Do you subscribe to newsletters about vehicle safety?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""blogs"",""transportation""}",true
"blogs_q_04","Would tutorial posts on event logistics help you?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""blogs"",""transportation""}",true
"blogs_q_05","Do you read cost comparison blog posts?","{""Regularly"",""Sometimes"",""Rarely"",""Never""}","{""blogs"",""transportation""}",true
"blogs_q_06","Would you follow a blog about driver training?","{""Yes"",""No"",""Maybe"",""Not sure""}","{""blogs"",""transportation""}",true
"blogs_q_07","Do you prefer long-form guides or short tips?","{""Long-form"",""Short tips"",""Both"",""No preference""}","{""blogs"",""transportation""}",true
"blogs_q_08","Would you share blog posts with other planners?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""blogs"",""transportation""}",true
"blogs_q_09","Are route-planning tutorials useful?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""blogs"",""transportation""}",true
"blogs_q_10","Do you read case studies about large events?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""blogs"",""transportation""}",true
"blogs_q_11","Would you like visual infographics in posts?","{""Yes"",""No"",""Sometimes"",""Not sure""}","{""blogs"",""transportation""}",true
